client_code,client_name,channel,discount_pct,sku,product_name,category,rrp_gbp,price_to_client_gbp,cogs_per_unit_gbp,gross_profit_per_unit_gbp,gross_margin_pct
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-SK-CLN-03,Purifying Cleanser 200ml,Skincare,12.5, 11.80 ,3.8,5.95,61
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-SK-HYD-02,Daily Hydration Cream 50ml,Skincare,15, 14.16 ,4.5,7.2,61.5
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-SK-EXF-09,Gentle AHA/BHA Exfoliating Toner 100ml,Skincare,13, 12.27 ,3.9,6.24,61.5
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-SK-EYE-08,Revitalizing Eye Contour Cream 15ml,Skincare,13.5, 12.74 ,4,6.53,62
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-SK-SER-01,Anti-Aging Serum 50ml,Skincare,19.5, 18.40 ,5.8,9.41,61.9
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-SK-SER-02,Hydration Serum 50ml,Skincare,14.5, 13.69 ,4.2,7.11,62.9
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-SK-SER-03,Vitamin C Serum 50ml,Skincare,17.5, 16.52 ,5.2,8.45,61.9
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-SU-FAC-04,Invisible Face Sunscreen SPF50 50ml,Suncare,13, 12.27 ,3.8,6.34,62.5
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-SU-BOD-05,Protective Body Lotion SPF30 200ml,Suncare,11, 10.38 ,3.3,5.28,61.5
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-NU-COL-06,Marine Collagen Peptides Powder 300g,Nutrition,32, 30.20 ,9,15.96,64
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-NU-VIT-07,Daily Glow Vitamin C Powder 150g,Nutrition,24, 22.65 ,7,11.72,62.6
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-NU-GRE-10,Daily Supergreens & Gut Health Powder 250g,Nutrition,22, 20.76 ,6.5,10.66,62.1
1002,Chemist & Beauty Direct,Health & Beauty Specialist,22,BL-NU-SLE-11,Nighttime Beauty Sleep Elixir 200g,Nutrition,28, 26.43 ,8,13.84,63.4
1005,GlowOnline UK,Digital / E-Commerce,20,BL-SK-CLN-03,Purifying Cleanser 200ml,Skincare,12.5, 12.10 ,3.8,6.2,62
1005,GlowOnline UK,Digital / E-Commerce,20,BL-SK-HYD-02,Daily Hydration Cream 50ml,Skincare,15, 14.52 ,4.5,7.5,62.5
1005,GlowOnline UK,Digital / E-Commerce,20,BL-SK-EXF-09,Gentle AHA/BHA Exfoliating Toner 100ml,Skincare,13, 12.58 ,3.9,6.5,62.5
1005,GlowOnline UK,Digital / E-Commerce,20,BL-SK-EYE-08,Revitalizing Eye Contour Cream 15ml,Skincare,13.5, 13.07 ,4,6.8,63
1005,GlowOnline UK,Digital / E-Commerce,20,BL-SK-SER-01,Anti-Aging Serum 50ml,Skincare,19.5, 18.88 ,5.8,9.8,62.8
1005,GlowOnline UK,Digital / E-Commerce,20,BL-SK-SER-02,Hydration Serum 50ml,Skincare,14.5, 14.04 ,4.2,7.4,63.8
1005,GlowOnline UK,Digital / E-Commerce,20,BL-SK-SER-03,Vitamin C Serum 50ml,Skincare,17.5, 16.94 ,5.2,8.8,62.9
1005,GlowOnline UK,Digital / E-Commerce,20,BL-SU-FAC-04,Invisible Face Sunscreen SPF50 50ml,Suncare,13, 12.58 ,3.8,6.6,63.5
1005,GlowOnline UK,Digital / E-Commerce,20,BL-SU-BOD-05,Protective Body Lotion SPF30 200ml,Suncare,11, 10.65 ,3.3,5.5,62.5
1005,GlowOnline UK,Digital / E-Commerce,20,BL-NU-COL-06,Marine Collagen Peptides Powder 300g,Nutrition,32, 30.98 ,9,16.6,64.8
1005,GlowOnline UK,Digital / E-Commerce,20,BL-NU-VIT-07,Daily Glow Vitamin C Powder 150g,Nutrition,24, 23.23 ,7,12.2,63.5
1005,GlowOnline UK,Digital / E-Commerce,20,BL-NU-GRE-10,Daily Supergreens & Gut Health Powder 250g,Nutrition,22, 21.30 ,6.5,11.1,63.1
1005,GlowOnline UK,Digital / E-Commerce,20,BL-NU-SLE-11,Nighttime Beauty Sleep Elixir 200g,Nutrition,28, 27.10 ,8,14.4,64.3
1003,St. James & Co. Retail,Department Stores,18,BL-SK-CLN-03,Purifying Cleanser 200ml,Skincare,12.5, 12.40 ,3.8,6.45,62.9
1003,St. James & Co. Retail,Department Stores,18,BL-SK-HYD-02,Daily Hydration Cream 50ml,Skincare,15, 14.88 ,4.5,7.8,63.4
1003,St. James & Co. Retail,Department Stores,18,BL-SK-EXF-09,Gentle AHA/BHA Exfoliating Toner 100ml,Skincare,13, 12.90 ,3.9,6.76,63.4
